TIPO N.U,NOMBRE N.U
ASENTAMIENTO HUMANO,Libertad Primera
ASENTAMIENTO HUMANO,La Libertad
ASENTAMIENTO HUMANO,La Unión
ASOCIACION,La Unión Tahuantinsuyo
ASENTAMIENTO HUMANO,La Victoria
ASOCIACION,Laderas de Cerro Cachito
ASOCIACION,Las Brisas I
ASENTAMIENTO HUMANO,Las Poncianas
ASENTAMIENTO HUMANO,Los 4 Suyos
ASENTAMIENTO HUMANO,Los Alamos - Pachacutec
ASOCIACION,Los Andes de Pachacutec
ASENTAMIENTO HUMANO,Los Jazmines
ASENTAMIENTO HUMANO,Los Naranjos
ASENTAMIENTO HUMANO,Los Pinos
ASENTAMIENTO HUMANO,Mercado Central
ASENTAMIENTO HUMANO,Micaela Bastidas
ASENTAMIENTO HUMANO,Mini Parque Industrial Cerro Cachito
ASENTAMIENTO HUMANO,Miramar
ASENTAMIENTO HUMANO,Nueva America
ASENTAMIENTO HUMANO,Nuevo Horizonte
ASENTAMIENTO HUMANO,Nuevo Pachacutec
ASENTAMIENTO HUMANO,Oasis de Pachacutec
ASENTAMIENTO HUMANO,PACOP
ASENTAMIENTO HUMANO,Paz y Union
ASENTAMIENTO HUMANO,Pedro A. Labarthe
ASENTAMIENTO HUMANO,Pesquero Avanza
ASENTAMIENTO HUMANO,Pesquero I
ASENTAMIENTO HUMANO,Pesquero II
ASENTAMIENTO HUMANO,Pesquero III
ASENTAMIENTO HUMANO,Pesquero IV
ASOCIACION,Proa Chalaca 
ASENTAMIENTO HUMANO,San Carlos
ASENTAMIENTO HUMANO,San Martin de Porres
ASENTAMIENTO HUMANO,San Pablo
ASENTAMIENTO HUMANO,San Pedro de Israel
ASENTAMIENTO HUMANO,Santa Patricia I Etapa
ASOCIACION,Santa Patricia II Etapa
ASENTAMIENTO HUMANO,Santa Rosa de Lima - COVIPOL
ASENTAMIENTO HUMANO,Santisima Cruz de Motupe
ASOCIACION,Sector Cerro Cachito
ASENTAMIENTO HUMANO,Señor de los Milagros
ASENTAMIENTO HUMANO,Señor de los Milagros II
ASENTAMIENTO HUMANO,Shalom
ASENTAMIENTO HUMANO,Sol y Mar
ASENTAMIENTO HUMANO,Tupac Amaru
ASENTAMIENTO HUMANO,Rosmery Segura
ASENTAMIENTO HUMANO,Virgen de Guadalupe
ASENTAMIENTO HUMANO,1 de Noviembre - Los Angelitos
ASENTAMIENTO HUMANO,12 de Diciembre
ASENTAMIENTO HUMANO,31 de Diciembre
ASOCIACION,7 de junio - Confraternidad-Modulos azules
ASENTAMIENTO HUMANO,Enmanuel
ASENTAMIENTO HUMANO,8 de Agosto
ASENTAMIENTO HUMANO,Ampliación Heroes del Cenepa
ASENTAMIENTO HUMANO,Armando Villanueva del Campo
ASENTAMIENTO HUMANO,Chavin de Huantar
ASENTAMIENTO HUMANO,Cueva de los Tallos
ASENTAMIENTO HUMANO,El Mirador 
ASENTAMIENTO HUMANO,Felix Moreno Roldan
ASENTAMIENTO HUMANO,Formalizados de los 16 Pueblos Parte Baja 
ASENTAMIENTO HUMANO,Heroes del Cenepa
ASENTAMIENTO HUMANO,Hiroshima
ASENTAMIENTO HUMANO,Jose Maria Arguedas - Parcela C
ASENTAMIENTO HUMANO,Jose Olaya Balandra
ASENTAMIENTO HUMANO,keiko Sofia Fujimori II Etapa
ASENTAMIENTO HUMANO,Las Brisas - Parcela C
ASENTAMIENTO HUMANO,Las Casuarinas  
ASENTAMIENTO HUMANO,Los Cedros II Etapa
ASENTAMIENTO HUMANO,Los Jardines del Mirador
ASENTAMIENTO HUMANO,Los Olivos de la Paz
ASOCIACION,Marcelina Caballero de Moreno
ASENTAMIENTO HUMANO,Maria Jesus Espinoza
ASENTAMIENTO HUMANO,Sagrado Corazón de Jesus
ASENTAMIENTO HUMANO,Sagrado Corazón de Jesus II Etapa
ASENTAMIENTO HUMANO,Santa Rosa de Pachacutec
ASENTAMIENTO HUMANO,Villa Rica
ASENTAMIENTO HUMANO,Vivienda Taller Señor de los Milagros
ASENTAMIENTO HUMANO,15 de Octubre
ASENTAMIENTO HUMANO,18 de Febrero
ASOCIACION,19 de Agosto
ASENTAMIENTO HUMANO,6 de Abril
ASOCIACION,8 de Diciembre
ASOCIACION,Ampliación 15 de Abril
ASENTAMIENTO HUMANO,Ampliación 5 de Enero
ASOCIACION,Ampliacion B - 3
ASENTAMIENTO HUMANO,Ampliación B - 4
ASOCIACION,Buena Vista
SECTOR A,Grupo Residencial A - 1
SECTOR A,Grupo Residencial A - 2
SECTOR A,Grupo Residencial A - 3
SECTOR A,Grupo Residencial A - 4
SECTOR B,Grupo Residencial B - 1
SECTOR B,Grupo Residencial B - 2
SECTOR B,Grupo Residencial B - 3
SECTOR B,Grupo Residencial B - 4
SECTOR C,Grupo Residencial C - 1
SECTOR C,Grupo Residencial C - 2
SECTOR C,Grupo Residencial C - 3
SECTOR C,Grupo Residencial C - 4
SECTOR D,Grupo Residencial D - 1
SECTOR D,Grupo Residencial D - 2
SECTOR D,Grupo Residencial D - 3
SECTOR E,Grupo Residencial E - 1
SECTOR E,Grupo Residencial E - 2
SECTOR E,Grupo Residencial E - 3
SECTOR E,Grupo Residencial E - 4
SECTOR E,Grupo Residencial E - 5
SECTOR E,Grupo Residencial E - 6
ASENTAMIENTO HUMANO,Jaime Yoshiyama
ASENTAMIENTO HUMANO,Jenny Bumachar de Kouri
ASOCIACION,Las Flores 
ASENTAMIENTO HUMANO,Leandra Ortega Espinoza
ASENTAMIENTO HUMANO,Los Proceres Parcela I
ASOCIACION,Luz y Paz
ASOCIACION,Omar Marcos Arteaga II
ASENTAMIENTO HUMANO,Puerto Pachacutec
ASENTAMIENTO HUMANO,Techo Propio 1ra Etapa El Mirador
ASENTAMIENTO HUMANO,Techo Propio 2da Etapa El Mirador
ASENTAMIENTO HUMANO,Techo Propio 3ra Etapa El Mirador
ASENTAMIENTO HUMANO,Techo Propio 4ta Etapa El Mirador
ASENTAMIENTO HUMANO,Techo Propio 5ta Etapa El Mirador
ASENTAMIENTO HUMANO,18 de octubre
ASENTAMIENTO HUMANO,24 de Junio
ASOCIACION,Agrupación de Familias Casa Huerta Virgen de las Mercedes
ASENTAMIENTO HUMANO,Alexander Kouri Bumachar
ASENTAMIENTO HUMANO,Alfonso Ugarte
ASENTAMIENTO HUMANO,Ampliación Costa Azul
ASENTAMIENTO HUMANO,Ampliación los Hijos del Almirante Grau I
ASENTAMIENTO HUMANO,Ampliación los Hijos del Almirante Grau II
ASENTAMIENTO HUMANO,Ampliación Viñas de Angamos
ASENTAMIENTO HUMANO,Anexo Kenji Fujimori
ASENTAMIENTO HUMANO,Angamos 1er y 2do Sector
ASENTAMIENTO HUMANO,Angamos III Sector
URBANIZACION,Pedro Cueva
URBANIZACION,Almirante Miguel Grau - Naval
URBANIZACION,Antonia Moreno de Caceres - Ciudad del Deporte
ASENTAMIENTO HUMANO,Coordinadora de los Pueblos del Sur
ASOCIACION,De Vivienda Los Cipreses de Ventanilla
ASENTAMIENTO HUMANO,Defensores de la Patria
ASENTAMIENTO HUMANO,Francisco Bolognesi
ASENTAMIENTO HUMANO,Heroes del Cenepa
ASENTAMIENTO HUMANO,Hijos del Almirante Miguel Grau
ASENTAMIENTO HUMANO,Jose de San Martin
ASENTAMIENTO HUMANO,Kenji Fujimori
ASENTAMIENTO HUMANO,Kouri Hanna
ASENTAMIENTO HUMANO,Kumamoto
ASENTAMIENTO HUMANO,La Planicie
ASENTAMIENTO HUMANO,Las Brisas de Ventanilla - Grau
ASENTAMIENTO HUMANO,Las Colinas de los Licenciados
ASENTAMIENTO HUMANO,Las Lomas de los Licenciados
ASENTAMIENTO HUMANO,Las Lomas del Paraiso
ASENTAMIENTO HUMANO,Los Alamos  
ASOCIACION,Los Cedros de Ventanilla
ASENTAMIENTO HUMANO,Los Edificadores
ASENTAMIENTO HUMANO,Los Jardines de los Licenciados
ASENTAMIENTO HUMANO,Los Licenciados
ASENTAMIENTO HUMANO,Mariano Ignacio Prado
ASENTAMIENTO HUMANO,Monte de Sion
ASENTAMIENTO HUMANO,Nuestro Señor de la Misericordia
ASENTAMIENTO HUMANO,Proyecto Integral Pueblos Unidos para el Desarrollo - Costa Azul
ASENTAMIENTO HUMANO,Proyecto Integral Pueblos Unidos para el Desarrollo - Sector Hijos del Almirante Grau II
ASENTAMIENTO HUMANO,Proyecto Integral Todos Unidos - Sector 8 de Marzo
ASENTAMIENTO HUMANO,Santa Fe
ASENTAMIENTO HUMANO,Santa Rosita
ASENTAMIENTO HUMANO,Santisima Virgen de Fátima
ASENTAMIENTO HUMANO,Seycho Marcela Fujimori
ASENTAMIENTO HUMANO,Susana Higushi
ASENTAMIENTO HUMANO,Valle Verde
ASENTAMIENTO HUMANO,Victor Raul Haya de la Torre
ASOCIACION,Villa Fuerte
ASENTAMIENTO HUMANO,Villa Hermosa
ASENTAMIENTO HUMANO,Viñas de Angamos
ASOCIACION,Virgen de Fatima - 8 de Octubre
ASENTAMIENTO HUMANO,Virgen del Carmen
ASOCIACION,Coopemar
ASENTAMIENTO HUMANO,Parque Porcino Zona 1
ASENTAMIENTO HUMANO,Parque Porcino Zona 2
ASENTAMIENTO HUMANO,Parque Porcino Zona 3
ASENTAMIENTO HUMANO,Parque Porcino Zona 4
ASENTAMIENTO HUMANO,Parque Porcino Zona 5
ASENTAMIENTO HUMANO,Parque Porcino Zona 6
ASENTAMIENTO HUMANO,Parque Porcino Zona 7
ASENTAMIENTO HUMANO,Parque Porcino Zona 8
ASENTAMIENTO HUMANO,Parque Porcino Zona 9
ASENTAMIENTO HUMANO,Parque Porcino Zona 10
ASENTAMIENTO HUMANO,Parque Porcino Zona 11
ASENTAMIENTO HUMANO,Parque Porcino Zona 12
ASENTAMIENTO HUMANO,Parque Porcino Zona 13
ASENTAMIENTO HUMANO,Parque Porcino Zona 14
ASENTAMIENTO HUMANO,Parque Porcino Amp. A
ASENTAMIENTO HUMANO,Parque Porcino Amp. B
ASENTAMIENTO HUMANO,Parque Porcino Amp. C
ASENTAMIENTO HUMANO,Parque Porcino Amp. D
ASENTAMIENTO HUMANO,Parque Porcino Amp. E
